product_type,brand_name,product_description,search_result_id,watersense_certified,energy_star_certified,ada_certified,product_url,image_url,product_rating,cost,currency
washing machine,samsung,Samsung 4.5 cu. ft. High-Efficiency Front Load Washer with Self-Clean+ in Brushed Black,314312141,1,1,1,https://www.homedepot.com/p/Samsung-4-5-cu-ft-High-Efficiency-Front-Load-Washer-with-Self-Clean-in-Brushed-Black-WF45T6000AV/314312141,https://images.thdstatic.com/productImages/d72fa452-d501-4bf9-892a-fc387e26fc64/svn/brushed-black-samsung-front-load-washers-wf45t6000av-64_1000.jpg,4.3,628,USD
washing machine,ge,GE 4.8 cu. ft. Smart White Front Load Washer with OdorBlock UltraFresh Vent System and Sanitize with Oxi,312563953,1,1,1,https://www.homedepot.com/p/GE-4-8-cu-ft-Smart-White-Front-Load-Washer-with-OdorBlock-UltraFresh-Vent-System-and-Sanitize-with-Oxi-GFW550SSNWW/312563953,https://images.thdstatic.com/productImages/cb4ed536-834b-4a5d-942b-5004a47e4660/svn/white-ge-front-load-washers-gfw550ssnww-64_1000.jpg,4.6,798,USD
washing machine,ge,GE 5.0 cu. ft. Smart Sapphire Blue Front Load Washer with OdorBlock UltraFresh Vent System with Sanitize and Allergen,311972521,1,1,1,https://www.homedepot.com/p/GE-5-0-cu-ft-Smart-Sapphire-Blue-Front-Load-Washer-with-OdorBlock-UltraFresh-Vent-System-with-Sanitize-and-Allergen-GFW850SPNRS/311972521,https://images.thdstatic.com/productImages/6f1e76e9-b710-4428-9a89-0a651bd26e50/svn/blue-sapphire-ge-front-load-washers-gfw850spnrs-64_1000.jpg,4.6,948,USD
washing machine,ge,GE 4.8 cu. ft. Smart Satin Nickel Front Load Washer with OdorBlock UltraFresh Vent System with Sanitize and Allergen,311972517,1,1,1,https://www.homedepot.com/p/GE-4-8-cu-ft-Smart-Satin-Nickel-Front-Load-Washer-with-OdorBlock-UltraFresh-Vent-System-with-Sanitize-and-Allergen-GFW650SPNSN/311972517,https://images.thdstatic.com/productImages/e1ddbbac-8a9c-4227-83a2-fc91ea797498/svn/satin-nickel-ge-front-load-washers-gfw650spnsn-64_1000.jpg,4.6,898,USD
washing machine,whirlpool,"Whirlpool 4.5 cu. ft. Front Load Washer with Steam, Quick Wash Cycle and Vibration Control Technology in Chrome Shadow",320587744,1,1,1,https://www.homedepot.com/p/Whirlpool-4-5-cu-ft-Front-Load-Washer-with-Steam-Quick-Wash-Cycle-and-Vibration-Control-Technology-in-Chrome-Shadow-WFW5605MC/320587744,https://images.thdstatic.com/productImages/044882e8-462b-442a-89fe-a9ca06c2fcc5/svn/chrome-shadow-whirlpool-front-load-washers-wfw5605mc-64_1000.jpg,4.1,698,USD
washing machine,maytag,"Maytag 4.5 cu. ft. White Stackable Front Load Washing Machine with 12-Hour Fresh Spin, ENERGY STAR",308241827,1,1,1,https://www.homedepot.com/p/Maytag-4-5-cu-ft-White-Stackable-Front-Load-Washing-Machine-with-12-Hour-Fresh-Spin-ENERGY-STAR-MHW5630HW/308241827,https://images.thdstatic.com/productImages/9bc87d66-4700-4911-a323-8601f37dac53/svn/white-maytag-front-load-washers-mhw5630hw-64_1000.jpg,4.4,698,USD
washing machine,maytag,"Maytag 4.8 cu. ft. Stackable White Front Load Washing Machine with Steam and 16-Hour Fresh Hold Option, ENERGY STAR",308241954,1,1,1,https://www.homedepot.com/p/Maytag-4-8-cu-ft-Stackable-White-Front-Load-Washing-Machine-with-Steam-and-16-Hour-Fresh-Hold-Option-ENERGY-STAR-MHW6630HW/308241954,https://images.thdstatic.com/productImages/52de2469-6d7e-429b-aef1-a55a65d73731/svn/white-maytag-front-load-washers-mhw6630hw-64_1000.jpg,4.5,848,USD
washing machine,bosch,"Bosch 300 Series 24 in. 2.2 cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR",324684220,1,1,1,https://www.homedepot.com/p/Bosch-300-Series-24-in-2-2-cu-ft-High-Efficiency-Front-Load-Washer-in-White-ENERGY-STAR-WGA12400UC/324684220,https://images.thdstatic.com/productImages/cb86f5ed-d5cc-44a1-90ef-dc961ac8ee73/svn/white-bosch-front-load-washers-wga12400uc-64_1000.jpg,3.9,1249,USD
washing machine,whirlpool,Whirlpool 5 cu. ft. Front Load Washer in Chrome Shadow,321812690,1,1,1,https://www.homedepot.com/p/Whirlpool-5-cu-ft-Front-Load-Washer-in-Chrome-Shadow-WFW6605MC/321812690,https://images.thdstatic.com/productImages/0c51faa4-874b-4fc0-9627-3e3bd0a37ca9/svn/chrome-shadow-whirlpool-front-load-washers-wfw6605mc-64_1000.jpg,4.3,878,USD
washing machine,maytag,"Maytag 4.8 cu. ft. Metallic Slate Stackable Front Load Washing Machine with Steam and 16-Hour Fresh Hold Option, ENERGY STAR",308241938,1,1,1,https://www.homedepot.com/p/Maytag-4-8-cu-ft-Metallic-Slate-Stackable-Front-Load-Washing-Machine-with-Steam-and-16-Hour-Fresh-Hold-Option-ENERGY-STAR-MHW6630HC/308241938,https://images.thdstatic.com/productImages/0205f79c-b1a7-4aaa-9c31-582c87c79c9b/svn/metallic-slate-maytag-front-load-washers-mhw6630hc-64_1000.jpg,4.5,878,USD
washing machine,whirlpool,Whirlpool 5.0 cu. ft. High Efficiency White Stackable Front Load Washing Machine with Load & Go XL Dispenser,308185886,1,1,1,https://www.homedepot.com/p/Whirlpool-5-0-cu-ft-High-Efficiency-White-Stackable-Front-Load-Washing-Machine-with-Load-Go-XL-Dispenser-WFW8620HW/308185886,https://images.thdstatic.com/productImages/854819a2-ace5-46b0-b72e-9ef9a482332e/svn/white-whirlpool-front-load-washers-wfw8620hw-64_1000.jpg,4.3,998,USD
washing machine,black+decker,BLACK+DECKER 2.7 cu. Ft. Front Load Washer with 16 cycles in Compact White,320094174,1,1,1,https://www.homedepot.com/p/BLACK-DECKER-2-7-cu-Ft-Front-Load-Washer-with-16-cycles-in-Compact-White-BFLW27MW/320094174,https://images.thdstatic.com/productImages/894d6907-f471-4978-b499-f9672f06dc22/svn/white-black-decker-front-load-washers-bflw27mw-64_1000.jpg,0,877.97,USD
washing machine,whirlpool,Whirlpool 2.3 cu.ft. High Efficiency Front Load Washer in White with ENERGY STAR,308855459,1,1,1,https://www.homedepot.com/p/Whirlpool-2-3-cu-ft-High-Efficiency-Front-Load-Washer-in-White-with-ENERGY-STAR-WFW5090JW/308855459,https://images.thdstatic.com/productImages/270cb1d2-5190-4ec7-b950-f27ef94717bf/svn/white-whirlpool-front-load-washers-wfw5090jw-64_1000.jpg,3.1,1168,USD
washing machine,samsung,Samsung 5 cu. ft. Smart High-Efficiency Front Load Washer with Super Speed in Brushed Black,317651418,1,1,1,https://www.homedepot.com/p/Samsung-5-cu-ft-Smart-High-Efficiency-Front-Load-Washer-with-Super-Speed-in-Brushed-Black-WF50A8500AV/317651418,https://images.thdstatic.com/productImages/c2191b94-7f62-428c-9d69-1d09e968c529/svn/brushed-black-samsung-front-load-washers-wf50a8500av-64_1000.jpg,4.3,1349,USD
dishwasher,whirlpool,"Whirlpool 24 in. White Front Control Built-in Tall Tub Dishwasher with 1-Hour Wash Cycle, 55 dBA",301701737,1,1,1,https://www.homedepot.com/p/Whirlpool-24-in-White-Front-Control-Built-in-Tall-Tub-Dishwasher-with-1-Hour-Wash-Cycle-55-dBA-WDF330PAHW/301701737,https://images.thdstatic.com/productImages/a7493610-ba11-4a94-ba04-c05456c501c0/svn/white-whirlpool-built-in-dishwashers-wdf330pahw-64_1000.jpg,4.3,398,USD
dishwasher,frigidaire,"Frigidaire 18 In. in. Front Control Built-In Tall Tub Dishwasher in Stainless Steel with 6-Cycles, 52 dBA",309054054,1,1,1,https://www.homedepot.com/p/Frigidaire-18-In-in-Front-Control-Built-In-Tall-Tub-Dishwasher-in-Stainless-Steel-with-6-Cycles-52-dBA-FFBD1831US/309054054,https://images.thdstatic.com/productImages/16b8cb49-7a22-4663-a15e-e65404e066ca/svn/stainless-steel-frigidaire-built-in-dishwashers-ffbd1831us-64_1000.jpg,4.3,698,USD
dishwasher,bosch,"Bosch 300 Series 24 in. ADA Compliant Smart Front Control Dishwasher in Stainless Steel with Stainless Steel Tub, 46dBA",316010945,1,1,1,https://www.homedepot.com/p/Bosch-300-Series-24-in-ADA-Compliant-Smart-Front-Control-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Tub-46dBA-SGE53B55UC/316010945,https://images.thdstatic.com/productImages/362a4acc-2cc7-4783-994d-f88b5e7af4a9/svn/stainless-steel-bosch-built-in-dishwashers-sge53b55uc-64_1000.jpg,4.6,999,USD
dishwasher,samsung,"Samsung 18 in. Top Control Dishwasher in Fingerprint Resistant Stainless Steel, AutoRelease, 46 dBA",314317891,1,1,1,https://www.homedepot.com/p/Samsung-18-in-Top-Control-Dishwasher-in-Fingerprint-Resistant-Stainless-Steel-AutoRelease-46-dBA-DW50T6060US/314317891,https://images.thdstatic.com/productImages/347b02e5-d078-4638-92d1-a2c8b9314d70/svn/fingerprint-resistant-stainless-steel-samsung-built-in-dishwashers-dw50t6060us-64_1000.jpg,4.5,808,USD
dishwasher,bosch,"Bosch 800 Series 24 in. Top Control ADA Built-In Dishwasher in Stainless Steel with CrystalDry, 3rd Rack, 42dBA, and 6-Cycles",316010950,1,1,1,https://www.homedepot.com/p/Bosch-800-Series-24-in-Top-Control-ADA-Built-In-Dishwasher-in-Stainless-Steel-with-CrystalDry-3rd-Rack-42dBA-and-6-Cycles-SGX78B55UC/316010950,https://images.thdstatic.com/productImages/9cfbb2a5-b23a-4c1d-85de-3ecf27ca5082/svn/stainless-steel-bosch-built-in-dishwashers-sgx78b55uc-64_1000.jpg,4.4,1349,USD
dishwasher,bosch,"Bosch 800 Series 24 in. ADA Compliant Top Control Tall Tub Custom Panel Ready Dishwasher with Crystal Dry and 3rd Rack, 42dBA",316010952,1,1,1,https://www.homedepot.com/p/Bosch-800-Series-24-in-ADA-Compliant-Top-Control-Tall-Tub-Custom-Panel-Ready-Dishwasher-with-Crystal-Dry-and-3rd-Rack-42dBA-SGV78B53UC/316010952,https://images.thdstatic.com/productImages/70e5d423-2415-57df-a794-cc351f3f3f6b/svn/panel-ready-bosch-built-in-dishwashers-sgv78b53uc-64_1000.jpg,4.2,1349,USD
dishwasher,lg,"LG 24 in. Stainless Steel Front Control Built-In Dishwasher with Stainless Steel Tub, Quadwash, Dynamic Dry, ADA, 48 dBA",314963579,1,1,1,https://www.homedepot.com/p/LG-24-in-Stainless-Steel-Front-Control-Built-In-Dishwasher-with-Stainless-Steel-Tub-Quadwash-Dynamic-Dry-ADA-48-dBA-ADFD5448AT/314963579,https://images.thdstatic.com/productImages/a71f05a1-8bdd-4f7a-9bbc-ea1e8a3cbc2e/svn/stainless-steel-lg-built-in-dishwashers-adfd5448at-64_1000.jpg,4,648,USD
dishwasher,bosch,"Bosch 800 Series 18 in. ADA Compact Top Control Dishwasher in Stainless Steel with Stainless Steel Tub and 3rd Rack, 44dBA",316049928,1,1,1,https://www.homedepot.com/p/Bosch-800-Series-18-in-ADA-Compact-Top-Control-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Tub-and-3rd-Rack-44dBA-SPX68B55UC/316049928,https://images.thdstatic.com/productImages/e621a8e4-8d87-4c22-8974-6b9fdf42ecd8/svn/stainless-steel-bosch-built-in-dishwashers-spx68b55uc-64_1000.jpg,4.7,1199,USD
dishwasher,samsung,"Samsung 24 in. Front Control Tall Tub Dishwasher in Stainless Steel with Stainless Steel Tub, ADA Compliant, 52 dBA",311949998,1,1,1,https://www.homedepot.com/p/Samsung-24-in-Front-Control-Tall-Tub-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Tub-ADA-Compliant-52-dBA-DW60R2014US/311949998,https://images.thdstatic.com/productImages/691d33c5-70ba-4269-9c25-abd5da16ece0/svn/stainless-steel-samsung-built-in-dishwashers-dw60r2014us-64_1000.jpg,3.4,718,USD
